source,target,prediction
Nerve conduction velocity studies show demyelinating polyneuropathy consistent with Charcot-Marie-Tooth disease.,Nerve conduction velocity studies showed demyelinating polyneuropathy consistent with Charcot-Marie-Tooth disease.,Nerve conduction velocity studies show that the findings are consistent with Charcot-Marie-Tooth disease.
Patient develop tumor lysis syndrome following initiation of chemotherapy for acute lymphoblastic leukemia.,The patient developed tumor lysis syndrome following initiation of chemotherapy for acute lymphoblastic leukemia.,Patients develop tumour lysis syndrome following the initiation of chemotherapy for acute lymphoblastic leukaemia.
The orthopedic oncologist recommend wide local excision with limb salvage for osteosarcoma of the distal femur.,The orthopedic oncologist recommended wide local excision with limb salvage for osteosarcoma of the distal femur.,The orthopedic oncologist recommends wide local excision with limb salvage for osteosarcoma of the distal femur.
Magnetic resonance spectroscopy demonstrate reduced N-acetylaspartate levels consistent with neuronal loss and gliosis.,Magnetic resonance spectroscopy demonstrated reduced N-acetylaspartate levels consistent with neuronal loss and gliosis.,"Magnetic resonance spectroscopy demonstrates reduced N-acetylaspartate levels, consistent with neuronal loss and gliosis."
The emergency medicine physician diagnose aortic dissection based on computed tomography angiography findings.,The emergency medicine physician diagnosed aortic dissection based on computed tomography angiography findings.,The emergency medicine physician diagnoses aortic dissection based on computed tomography angiography findings.
Single-photon emission computed tomography show decreased cerebral blood flow in the watershed distribution territories.,Single-photon emission computed tomography showed decreased cerebral blood flow in the watershed distribution territories.,Single-photon emission computed tomography shows decreased cerebral blood flow in the watershed distribution territories.
Patient require intracranial pressure monitoring following traumatic brain injury with subdural hematoma evacuation.,The patient required intracranial pressure monitoring following traumatic brain injury with subdural hematoma evacuation.,Patients require intracranial pressure monitoring following traumatic brain injury with subdural hematoma evacuation.
The hepatobiliary surgeon perform pancreaticoduodenectomy for adenocarcinoma of the pancreatic head with biliary obstruction.,The hepatobiliary surgeon performed pancreaticoduodenectomy for adenocarcinoma of the pancreatic head with biliary obstruction.,The hepatobiliary surgeons perform pancreaticoduodenectomies for adenocarcinomas of the pancreatic head with biliary obstruction.
Flow cytometry analysis reveal clonal B-cell population consistent with chronic lymphocytic leukemia diagnosis.,Flow cytometry analysis revealed clonal B-cell population consistent with chronic lymphocytic leukemia diagnosis.,Flow cytometry analysis reveals a clonal B-cell population that is consistent with a chronic lymphocytic leukemia diagnosis
The interventional cardiologist perform percutaneous mitral valve repair using MitraClip device for severe mitral regurgitation.,The interventional cardiologist performed percutaneous mitral valve repair using MitraClip device for severe mitral regurgitation.,The interventional cardiologists perform percutaneous mitral valve repairs using the MitraClip device for severe mitral regurgitation.
Cystoscopy examination show transitional cell carcinoma of the bladder with muscle invasion requiring radical cystectomy.,Cystoscopy examination showed transitional cell carcinoma of the bladder with muscle invasion requiring radical cystectomy.,"The cystoscopy examination shows a transitional cell carcinoma of the bladder with muscle invasion, which requires radical cystectomy."
Patient develop diabetic ketoacidosis with severe dehydration and electrolyte imbalances requiring intensive care management.,The patient developed diabetic ketoacidosis with severe dehydration and electrolyte imbalances requiring intensive care management.,"Patients develop diabetic ketoacidosis with severe dehydration and electrolyte imbalances, requiring intensive care management."
The forensic pathologist identify blunt force trauma to the head with subdural hemorrhage and cerebral contusions.,The forensic pathologist identified blunt force trauma to the head with subdural hemorrhage and cerebral contusions.,The forensic pathologist identifies blunt force trauma to the head with subdural haemorrhage and cerebral contusions.
Endomyocardial biopsy specimen reveal lymphocytic myocarditis with focal necrosis and inflammatory cell infiltration.,Endomyocardial biopsy specimen revealed lymphocytic myocarditis with focal necrosis and inflammatory cell infiltration.,"Endomyocardial biopsy specimens reveal lymphocytic myocarditis, with focal necrosis and inflammatory cell infiltration."
The pediatric surgeon recommend laparoscopic fundoplication for severe gastroesophageal reflux disease with failure to thrive.,The pediatric surgeon recommended laparoscopic fundoplication for severe gastroesophageal reflux disease with failure to thrive.,The pediatric surgeon recommends laparoscopic fundoplication for severe gastroesophageal reflux disease with failure to thrive.
Electronystagmography testing show bilateral vestibular hypofunction consistent with aminoglycoside ototoxicity.,Electronystagmography testing showed bilateral vestibular hypofunction consistent with aminoglycoside ototoxicity.,"Electronystagmography testing shows bilateral vestibular hypofunction, which is consistent with aminoglycoside ototoxicity."
Patient experience massive pulmonary embolism requiring emergency pulmonary embolectomy and cardiopulmonary bypass.,The patient experienced massive pulmonary embolism requiring emergency pulmonary embolectomy and cardiopulmonary bypass.,"The patient experienced a massive pulmonary embolism, which required an emergency pulmonary embolectomy and cardiopulmonary bypass."
The clinical pharmacologist adjust warfarin dosing based on CYP2C9 and VKORC1 genetic polymorphism testing results.,The clinical pharmacologist adjusted warfarin dosing based on CYP2C9 and VKORC1 genetic polymorphism testing results.,The clinical pharmacologist adjusts warfarin dosing based on CYP2C9 and VKORC1 genetic polymorphism testing results.
Capsule endoscopy reveal multiple small bowel ulcerations consistent with Crohn's disease affecting the terminal ileum.,Capsule endoscopy revealed multiple small bowel ulcerations consistent with Crohn's disease affecting the terminal ileum.,Capsule endoscopy reveals multiple small bowel ulcerations consistent with Crohn's disease affecting the terminal ileum.
The neurosurgeon perform awake craniotomy with intraoperative cortical mapping for glioma resection near eloquent areas.,The neurosurgeon performed awake craniotomy with intraoperative cortical mapping for glioma resection near eloquent areas.,The neurosurgeon performs awake craniotomy with intraoperative cortical mapping for glioma resection near eloquent areas.
Technetium-99m bone scintigraphy show increased uptake consistent with osteoblastic metastases from prostate carcinoma.,Technetium-99m bone scintigraphy showed increased uptake consistent with osteoblastic metastases from prostate carcinoma.,"Technetium-99m bone scintigraphy shows increased uptake, consistent with osteoblastic metastases from prostate carcinoma."
Patient develop acute respiratory distress syndrome following aspiration pneumonia and require mechanical ventilation support.,The patient developed acute respiratory distress syndrome following aspiration pneumonia and required mechanical ventilation support.,Patients develop acute respiratory distress syndrome following aspiration pneumonia and require mechanical ventilation support.
The neonatologist diagnose respiratory distress syndrome in preterm infant requiring surfactant replacement therapy.,The neonatologist diagnosed respiratory distress syndrome in preterm infant requiring surfactant replacement therapy.,The neonatologists diagnose respiratory distress syndrome in preterm infants requiring surfactant replacement therapy.
Cardiac magnetic resonance imaging demonstrate myocardial fibrosis and delayed gadolinium enhancement patterns.,Cardiac magnetic resonance imaging demonstrated myocardial fibrosis and delayed gadolinium enhancement patterns.,Cardiac magnetic resonance imaging demonstrates myocardial fibrosis and delayed gadolinium enhancement patterns.
The addiction medicine specialist recommend methadone maintenance therapy for opioid use disorder treatment.,The addiction medicine specialist recommended methadone maintenance therapy for opioid use disorder treatment.,The addiction medicine specialists recommend methadone maintenance therapy for the treatment of opioid use disorders.
Lumbar puncture analysis show elevated opening pressure and lymphocytic pleocytosis consistent with viral meningitis.,Lumbar puncture analysis showed elevated opening pressure and lymphocytic pleocytosis consistent with viral meningitis.,"Lumbar puncture analysis shows elevated opening pressure and lymphocytic pleocytosis, consistent with viral meningitis."
Patient undergo emergency fasciotomy for compartment syndrome following tibial fracture and vascular injury.,The patient underwent emergency fasciotomy for compartment syndrome following tibial fracture and vascular injury.,The patient undergoes an emergency fasciotomy for compartment syndrome following a tibial fracture and vascular injury.
The gynecologic oncologist perform radical hysterectomy with pelvic lymphadenectomy for cervical adenocarcinoma.,The gynecologic oncologist performed radical hysterectomy with pelvic lymphadenectomy for cervical adenocarcinoma.,The gynecologic oncologists perform radical hysterectomies with pelvic lymphadenectomies for cervical adenocarcinomas.
Electroencephalography monitoring show continuous seizure activity consistent with nonconvulsive status epilepticus.,Electroencephalography monitoring showed continuous seizure activity consistent with nonconvulsive status epilepticus.,Electroencephalography monitoring shows continuous seizure activity consistent with nonconvulsive status epilepticus.
The wound care specialist recommend negative pressure wound therapy for chronic diabetic foot ulcer with osteomyelitis.,The wound care specialist recommended negative pressure wound therapy for chronic diabetic foot ulcer with osteomyelitis.,The wound care specialists recommend negative pressure wound therapy for chronic diabetic foot ulcers with osteomyelitis.
Computed tomography urography reveal ureteral stricture and hydronephrosis requiring percutaneous nephrostomy placement.,Computed tomography urography revealed ureteral stricture and hydronephrosis requiring percutaneous nephrostomy placement.,"Computed tomography urography reveals ureteral strictures and hydronephrosis, which require percutaneous nephrostomy placement."
Patient experience hypertensive emergency with acute kidney injury and encephalopathy requiring immediate blood pressure reduction.,The patient experienced hypertensive emergency with acute kidney injury and encephalopathy requiring immediate blood pressure reduction.,"A patient experienced a hypertensive emergency with acute kidney injury and encephalopathy, requiring immediate blood pressure reduction."
The sports medicine physician diagnose anterior cruciate ligament rupture with meniscal tear requiring arthroscopic reconstruction.,The sports medicine physician diagnosed anterior cruciate ligament rupture with meniscal tear requiring arthroscopic reconstruction.,The sports medicine physician diagnoses anterior cruciate ligament ruptures with meniscal tears requiring arthroscopic reconstructions
Immunohistochemistry staining show positive cytokeratin and negative vimentin consistent with epithelial tumor origin.,Immunohistochemistry staining showed positive cytokeratin and negative vimentin consistent with epithelial tumor origin.,"Immunohistochemistry staining shows positive cytokeratin and negative vimentin, consistent with an epithelial tumor origin."
The palliative care specialist adjust opioid analgesics for breakthrough pain management in terminal cancer patient.,The palliative care specialist adjusted opioid analgesics for breakthrough pain management in terminal cancer patient.,The palliative care specialist adjusts opioid analgesics for breakthrough pain management in terminal cancer patients.
Ventilation-perfusion scan demonstrate high probability for pulmonary embolism with multiple segmental defects.,Ventilation-perfusion scan demonstrated high probability for pulmonary embolism with multiple segmental defects.,A ventilation-perfusion scan demonstrates a high probability for pulmonary embolism with multiple segmental defects.
Patient develop post-operative ileus following abdominal surgery requiring nasogastric decompression and prokinetic agents.,The patient developed post-operative ileus following abdominal surgery requiring nasogastric decompression and prokinetic agents.,"Patients develop post-operative ileus following abdominal surgery, requiring nasogastric decompression and prokinetic agents."
The pediatric hematologist diagnose sickle cell disease with vaso-occlusive crisis requiring exchange transfusion therapy.,The pediatric hematologist diagnosed sickle cell disease with vaso-occlusive crisis requiring exchange transfusion therapy.,The pediatric hematologist diagnoses sickle cell disease with vaso-occlusive crises requiring exchange transfusion therapy.
Optical coherence tomography reveal macular edema and epiretinal membrane requiring vitreoretinal surgical intervention.,Optical coherence tomography revealed macular edema and epiretinal membrane requiring vitreoretinal surgical intervention.,"Optical coherence tomography reveals macular edema and epiretinal membrane, which require vitreoretinal surgical intervention."
The infectious disease consultant recommend combination antifungal therapy for invasive aspergillosis in immunocompromised host.,The infectious disease consultant recommended combination antifungal therapy for invasive aspergillosis in immunocompromised host.,The infectious disease consultants recommend a combination antifungal therapy for invasive aspergillosis in immunocompromised hosts.
Ambulatory blood pressure monitoring show nocturnal hypertension with loss of normal circadian rhythm patterns.,Ambulatory blood pressure monitoring showed nocturnal hypertension with loss of normal circadian rhythm patterns.,Ambulatory blood pressure monitoring shows nocturnal hypertension with a loss of normal circadian rhythm patterns.
Patient undergo balloon valvuloplasty for severe aortic stenosis in high-risk surgical candidate with multiple comorbidities.,The patient underwent balloon valvuloplasty for severe aortic stenosis in high-risk surgical candidate with multiple comorbidities.,Patients undergo balloon valvuloplasty for severe aortic stenosis in high-risk surgical candidates with multiple comorbidities.
The medical geneticist identify chromosomal translocation associated with Philadelphia chromosome-positive acute lymphoblastic leukemia.,The medical geneticist identified chromosomal translocation associated with Philadelphia chromosome-positive acute lymphoblastic leukemia.,The medical geneticist identifies chromosomal translocations associated with Philadelphia chromosome-positive acute lymphoblastic leukemia.
Magnetic resonance enterography demonstrate small bowel strictures and fistulous tracts consistent with complicated Crohn's disease.,Magnetic resonance enterography demonstrated small bowel strictures and fistulous tracts consistent with complicated Crohn's disease.,"Magnetic resonance enterography demonstrates small bowel strictures and fistulous tracts, which are consistent with complicated Crohn's disease."
The occupational therapist recommend adaptive equipment and environmental modifications for activities of daily living.,The occupational therapist recommended adaptive equipment and environmental modifications for activities of daily living.,The occupational therapists recommend adaptive equipment and environmental modifications for activities of daily living.
Intraoperative electrophysiology monitoring show compound muscle action potential changes during spinal deformity correction surgery.,Intraoperative electrophysiology monitoring showed compound muscle action potential changes during spinal deformity correction surgery.,Intraoperative electrophysiology monitoring shows compound muscle action potential changes during spinal deformity correction surgery.
Patient experience acute graft-versus-host disease following allogeneic hematopoietic stem cell transplantation.,The patient experienced acute graft-versus-host disease following allogeneic hematopoietic stem cell transplantation.,Patients experience acute graft-versus-host disease following allogeneic hematopoietic stem cell transplantation.
The burn surgeon perform autologous skin grafting for full-thickness burns covering twenty percent body surface area.,The burn surgeon performed autologous skin grafting for full-thickness burns covering twenty percent body surface area.,The burn surgeons perform autologous skin grafting for full-thickness burns that cover twenty percent of the body's surface area.
Thyroid ultrasound examination show heterogeneous nodules with microcalcifications requiring fine needle aspiration biopsy.,Thyroid ultrasound examination showed heterogeneous nodules with microcalcifications requiring fine needle aspiration biopsy.,"The thyroid ultrasound examination shows heterogeneous nodules with microcalcifications, which require a fine-needle aspiration biopsy."
The maternal-fetal medicine physician detect twin-to-twin transfusion syndrome requiring laser photocoagulation therapy.,The maternal-fetal medicine physician detected twin-to-twin transfusion syndrome requiring laser photocoagulation therapy.,"The maternal-fetal medicine physician detects twin-to-twin transfusion syndrome, which requires laser photocoagulation therapy."
Coagulation studies reveal prolonged prothrombin time and activated partial thromboplastin time with factor deficiencies.,Coagulation studies revealed prolonged prothrombin time and activated partial thromboplastin time with factor deficiencies.,Coagulation studies reveal that prolonged prothrombin times and activated partial thromboplastin times are seen with factor deficiencies.
Patient develop contrast-induced nephropathy following cardiac catheterization with iodinated contrast material administration.,The patient developed contrast-induced nephropathy following cardiac catheterization with iodinated contrast material administration.,Patients develop contrast-induced nephropathy following cardiac catheterization with the administration of iodinated contrast material.
The pediatric pulmonologist recommend bronchoscopy with bronchoalveolar lavage for persistent pneumonia in immunocompromised child.,The pediatric pulmonologist recommended bronchoscopy with bronchoalveolar lavage for persistent pneumonia in immunocompromised child.,The pediatric pulmonologists recommend bronchoscopy with bronchoalveolar lavage for persistent pneumonia in an immunocompromised child.
Endoscopic ultrasound demonstrate pancreatic mass with regional lymphadenopathy requiring endoscopic ultrasound-guided fine needle aspiration.,Endoscopic ultrasound demonstrated pancreatic mass with regional lymphadenopathy requiring endoscopic ultrasound-guided fine needle aspiration.,"Endoscopic ultrasound demonstrates a pancreatic mass with regional lymphadenopathy, which requires endoscopic ultrasound-guided fine-needle aspiration."
The nuclear medicine physician perform parathyroid scintigraphy for localization of adenomatous tissue prior to surgical resection.,The nuclear medicine physician performed parathyroid scintigraphy for localization of adenomatous tissue prior to surgical resection.,The nuclear medicine physicians perform parathyroid scintigraphy for the localization of adenomatous tissue prior to surgical resection.
Molecular cytogenetics analysis show complex karyotype abnormalities consistent with high-risk myelodysplastic syndrome.,Molecular cytogenetics analysis showed complex karyotype abnormalities consistent with high-risk myelodysplastic syndrome.,Molecular cytogenetic analysis shows complex karyotype abnormalities consistent with high-risk myelodysplastic syndrome.
Patient require extracorporeal membrane oxygenation support for severe acute respiratory distress syndrome with refractory hypoxemia.,The patient required extracorporeal membrane oxygenation support for severe acute respiratory distress syndrome with refractory hypoxemia.,Patients require extracorporeal membrane oxygenation support for severe acute respiratory distress syndrome with refractory hypoxemia.
The transplant hepatologist evaluate liver transplantation candidacy for decompensated cirrhosis with hepatocellular carcinoma.,The transplant hepatologist evaluated liver transplantation candidacy for decompensated cirrhosis with hepatocellular carcinoma.,The transplant hepatologist evaluates liver transplantation candidacy for decompensated cirrhosis with hepatocellular carcinoma.
Electromyography study show neurogenic changes consistent with motor neuron disease and progressive muscle denervation.,Electromyography study showed neurogenic changes consistent with motor neuron disease and progressive muscle denervation.,An electromyography study shows neurogenic changes consistent with motor neuron disease and progressive muscle denervation.
The pediatric cardiothoracic surgeon recommend arterial switch operation for transposition of the great arteries.,The pediatric cardiothoracic surgeon recommended arterial switch operation for transposition of the great arteries.,The pediatric cardiothoracic surgeon recommends an arterial switch operation for transposition of the great arteries.
Indium-111 leukocyte scintigraphy reveal active inflammatory process consistent with prosthetic joint infection.,Indium-111 leukocyte scintigraphy revealed active inflammatory process consistent with prosthetic joint infection.,Indium-111 leukocyte scintigraphy reveals an active inflammatory process consistent with prosthetic joint infection.
Patient undergo percutaneous balloon mitral commissurotomy for rheumatic mitral stenosis with favorable valve morphology.,The patient underwent percutaneous balloon mitral commissurotomy for rheumatic mitral stenosis with favorable valve morphology.,Patients undergo percutaneous balloon mitral commissurotomy for rheumatic mitral stenosis with favourable valve morphology.
The geriatrician assess cognitive function using standardized neuropsychological testing and cerebrospinal fluid biomarkers.,The geriatrician assessed cognitive function using standardized neuropsychological testing and cerebrospinal fluid biomarkers.,The geriatrician assesses cognitive function using standardized neuropsychological testing and cerebrospinal fluid biomarkers.
Fluorodeoxyglucose positron emission tomography show increased metabolic activity consistent with viable myocardium.,Fluorodeoxyglucose positron emission tomography showed increased metabolic activity consistent with viable myocardium.,Fluorodeoxyglucose positron emission tomography shows increased metabolic activity consistent with viable myocardium.
The pediatric nephrologist diagnose autosomal recessive polycystic kidney disease with hepatic fibrosis and portal hypertension.,The pediatric nephrologist diagnosed autosomal recessive polycystic kidney disease with hepatic fibrosis and portal hypertension.,The pediatric nephrologist diagnoses autosomal recessive polycystic kidney disease with hepatic fibrosis and portal hypertension.
Histopathological examination reveal chronic active hepatitis with bridging fibrosis and interface hepatitis features.,Histopathological examination revealed chronic active hepatitis with bridging fibrosis and interface hepatitis features.,The histopathological examination reveals chronic active hepatitis with bridging fibrosis and interface hepatitis features.
Patient experience delayed graft function following deceased donor kidney transplantation requiring temporary dialysis support.,The patient experienced delayed graft function following deceased donor kidney transplantation requiring temporary dialysis support.,"Patients' experience was delayed due to graft dysfunction following deceased donor kidney transplantation, which required temporary dialysis support."
The interventional neuroradiologist perform mechanical thrombectomy for acute ischemic stroke with large vessel occlusion.,The interventional neuroradiologist performed mechanical thrombectomy for acute ischemic stroke with large vessel occlusion.,The interventional neuroradiologists perform mechanical thrombectomies for acute ischemic strokes with large vessel occlusions.
Bone densitometry study show severe osteoporosis with increased fracture risk requiring bisphosphonate therapy initiation.,Bone densitometry study showed severe osteoporosis with increased fracture risk requiring bisphosphonate therapy initiation.,"A bone densitometry study shows severe osteoporosis with an increased fracture risk, requiring the initiation of bisphosphonate therapy."
The pediatric gastroenterologist recommend elemental formula feeding for short gut syndrome with malabsorption.,The pediatric gastroenterologist recommended elemental formula feeding for short gut syndrome with malabsorption.,The pediatric gastroenterologists recommend elemental formula feeding for short-gut syndrome with malabsorption.
Sestamibi myocardial perfusion imaging demonstrate reversible ischemia in the left anterior descending artery territory.,Sestamibi myocardial perfusion imaging demonstrated reversible ischemia in the left anterior descending artery territory.,Sestamibi myocardial perfusion imaging demonstrates reversible ischemia in the left anterior descending artery territory.
"Patient develop severe preeclampsia with hemolysis, elevated liver enzymes, and low platelet syndrome requiring immediate delivery.","The patient developed severe preeclampsia with hemolysis, elevated liver enzymes, and low platelet syndrome requiring immediate delivery.","Patients develop severe preeclampsia with hemolysis, elevated liver enzymes, and low platelet count syndrome requiring immediate delivery."
The clinical neurophysiologist perform continuous electroencephalography monitoring for seizure detection in comatose patient.,The clinical neurophysiologist performed continuous electroencephalography monitoring for seizure detection in comatose patient.,The clinical neurophysiologists perform continuous electroencephalography monitoring for seizure detection in comatose patients.
Cytogenetic analysis reveal ring chromosome formation associated with constitutional growth delay and developmental abnormalities.,Cytogenetic analysis revealed ring chromosome formation associated with constitutional growth delay and developmental abnormalities.,"Cytogenetic analyses reveal ring chromosome formation, which is associated with constitutional growth delay and developmental abnormalities."
The family medicine physician coordinate comprehensive diabetes management including insulin pump therapy and continuous glucose monitoring.,The family medicine physician coordinated comprehensive diabetes management including insulin pump therapy and continuous glucose monitoring.,"The family medicine physician coordinates comprehensive diabetes management, including insulin pump therapy and continuous glucose monitoring."
Magnetic resonance venography show cerebral venous sinus thrombosis requiring anticoagulation therapy and intracranial pressure monitoring.,Magnetic resonance venography showed cerebral venous sinus thrombosis requiring anticoagulation therapy and intracranial pressure monitoring.,"Magnetic resonance venography shows cerebral venous sinus thrombosis, which requires anticoagulation therapy and intracranial pressure monitoring."
Patient undergo radiofrequency ablation for hepatocellular carcinoma not suitable for surgical resection or liver transplantation.,The patient underwent radiofrequency ablation for hepatocellular carcinoma not suitable for surgical resection or liver transplantation.,Patients undergo radiofrequency ablation for hepatocellular carcinoma that are not suitable for surgical resection or liver transplantation.
The pediatric intensivist manage severe septic shock with multiple organ dysfunction requiring vasopressor support and renal replacement therapy.,The pediatric intensivist managed severe septic shock with multiple organ dysfunction requiring vasopressor support and renal replacement therapy.,"The pediatric intensivists manage severe septic shock with multiple organ dysfunction, requiring vasopressor support and renal replacement therapy."
Dual-energy X-ray absorptiometry scan show significant bone mineral density loss consistent with glucocorticoid-induced osteoporosis.,Dual-energy X-ray absorptiometry scan showed significant bone mineral density loss consistent with glucocorticoid-induced osteoporosis.,"A dual-energy X-ray absorptiometry scan shows significant bone mineral density loss, which is consistent with glucocorticoid-induced osteoporosis."
The sleep medicine specialist recommend continuous positive airway pressure therapy for severe obstructive sleep apnea syndrome.,The sleep medicine specialist recommended continuous positive airway pressure therapy for severe obstructive sleep apnea syndrome.,The sleep medicine specialists recommend continuous positive airway pressure therapy for severe obstructive sleep apnea syndrome.
Patch testing reveal positive reactions to multiple contact allergens requiring comprehensive avoidance strategies and topical corticosteroids.,Patch testing revealed positive reactions to multiple contact allergens requiring comprehensive avoidance strategies and topical corticosteroids.,"Patch testing reveals positive reactions to multiple contact allergens, requiring comprehensive avoidance strategies and topical corticosteroids."
Patient experience acute hemodynamic compromise following massive transfusion protocol activation for hemorrhagic shock.,The patient experienced acute hemodynamic compromise following massive transfusion protocol activation for hemorrhagic shock.,Patients' experience is acute hemodynamic compromise following the activation of a massive transfusion protocol for hemorrhagic shock.
The interventional pulmonologist perform endobronchial ultrasound-guided transbronchial needle aspiration for mediastinal lymph node sampling.,The interventional pulmonologist performed endobronchial ultrasound-guided transbronchial needle aspiration for mediastinal lymph node sampling.,The interventional pulmonologists perform endobronchial ultrasound-guided transbronchial needle aspirations for mediastinal lymph node sampling.
Pharmacogenomic testing show CYP2D6 poor metabolizer status affecting codeine metabolism and analgesic efficacy.,Pharmacogenomic testing showed CYP2D6 poor metabolizer status affecting codeine metabolism and analgesic efficacy.,Pharmacogenomic testing shows that a CYP2D6 poor metabolizer status affects codeine metabolism and analgesic efficacy.
The pediatric rheumatologist diagnose juvenile idiopathic arthritis with systemic features requiring methotrexate and biologic therapy.,The pediatric rheumatologist diagnosed juvenile idiopathic arthritis with systemic features requiring methotrexate and biologic therapy.,The pediatric rheumatologist diagnoses juvenile idiopathic arthritis with systemic features requiring methotrexate and biologic therapy.
Cerebral angiography demonstrate fusiform aneurysm of the basilar artery requiring flow diverter stent placement.,Cerebral angiography demonstrated fusiform aneurysm of the basilar artery requiring flow diverter stent placement.,"Cerebral angiography demonstrates a fusiform aneurysm of the basilar artery, which requires flow diverter stent placement."
Patient develop acquired thrombotic thrombocytopenic purpura requiring plasma exchange therapy and immunosuppressive treatment.,The patient developed acquired thrombotic thrombocytopenic purpura requiring plasma exchange therapy and immunosuppressive treatment.,"Patients develop acquired thrombotic thrombocytopenic purpura, requiring plasma exchange therapy and immunosuppressive treatment."
The maternal-fetal medicine specialist perform percutaneous umbilical blood sampling for fetal anemia evaluation and intrauterine transfusion.,The maternal-fetal medicine specialist performed percutaneous umbilical blood sampling for fetal anemia evaluation and intrauterine transfusion.,The maternal-fetal medicine specialists perform percutaneous umbilical blood sampling for fetal anemia evaluation and intrauterine transfusion.
Gallium-67 scintigraphy show increased uptake in pulmonary parenchyma consistent with active inflammation and sarcoidosis.,Gallium-67 scintigraphy showed increased uptake in pulmonary parenchyma consistent with active inflammation and sarcoidosis.,"Gallium-67 scintigraphy shows increased uptake in pulmonary parenchyma, consistent with active inflammation and sarcoidosis."
The emergency physician manage acute acetaminophen overdose with N-acetylcysteine administration and hepatic function monitoring.,The emergency physician managed acute acetaminophen overdose with N-acetylcysteine administration and hepatic function monitoring.,The emergency physicians manage acute acetaminophen overdoses with N-acetylcysteine administration and hepatic function monitoring.
Chromoendoscopy examination reveal subtle mucosal changes consistent with early colorectal neoplasia requiring endoscopic resection.,Chromoendoscopy examination revealed subtle mucosal changes consistent with early colorectal neoplasia requiring endoscopic resection.,"Chromoendoscopy examinations reveal subtle mucosal changes that are consistent with early colorectal neoplasia, which requires endoscopic resection."
Patient undergo implantable cardioverter-defibrillator placement for primary prevention of sudden cardiac death in ischemic cardiomyopathy.,The patient underwent implantable cardioverter-defibrillator placement for primary prevention of sudden cardiac death in ischemic cardiomyopathy.,The patient undergoes implantable cardioverter-defibrillator placement for the primary prevention of sudden cardiac death in ischemic cardiomyopathy.
The pediatric dermatologist diagnose epidermolysis bullosa with dystrophic features requiring specialized wound care management.,The pediatric dermatologist diagnosed epidermolysis bullosa with dystrophic features requiring specialized wound care management.,The pediatric dermatologist diagnoses epidermolysis bullosa with dystrophic features requiring specialized wound care management.
Lymphoscintigraphy demonstrate sentinel lymph node drainage patterns for melanoma staging and surgical planning.,Lymphoscintigraphy demonstrated sentinel lymph node drainage patterns for melanoma staging and surgical planning.,Lymphoscintigraphy demonstrates sentinel lymph node drainage patterns for melanoma staging and surgical planning
The clinical immunologist evaluate primary immunodeficiency syndrome with recurrent sinopulmonary infections and hypogammaglobulinemia.,The clinical immunologist evaluated primary immunodeficiency syndrome with recurrent sinopulmonary infections and hypogammaglobulinemia.,The clinical immunologists evaluate primary immunodeficiency syndrome with recurrent sinusopulmonary infections and hypogammaglobulinemia.
Intraoperative transesophageal echocardiography show successful repair of mitral valve regurgitation with competent leaflet coaptation.,Intraoperative transesophageal echocardiography showed successful repair of mitral valve regurgitation with competent leaflet coaptation.,Intraoperative transesophageal echocardiography shows successful repair of mitral valve regurgitation with competent leaflet coaptation.
Patient develop refeeding syndrome following nutritional rehabilitation for severe anorexia nervosa with electrolyte abnormalities.,The patient developed refeeding syndrome following nutritional rehabilitation for severe anorexia nervosa with electrolyte abnormalities.,Patients who develop refeeding syndrome do so following nutritional rehabilitation for severe anorexia nervosa with electrolyte abnormalities.
